goos: linux
goarch: amd64
pkg: lc27bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkSwapFromEnd/n=100/density=90-24        	24355701	        48.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=100/density=90-24        	24908697	        47.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=100/density=90-24        	24785234	        47.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=10-24       	 2576164	       458.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=10-24       	 2668767	       450.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=10-24       	 2649434	       452.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=10-24       	 2638915	       452.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=10-24       	 2657211	       451.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=50-24       	 3137905	       384.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=50-24       	 3176953	       379.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=50-24       	 3186211	       372.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=50-24       	 3216850	       376.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=50-24       	 3228022	       366.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=90-24       	 3772299	       316.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=90-24       	 3687033	       324.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=90-24       	 3568639	       328.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=90-24       	 3567321	       329.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=1000/density=90-24       	 3536680	       330.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=10-24      	  240560	      4942 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=10-24      	  237664	      4938 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=10-24      	  241789	      4937 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=10-24      	  242908	      5040 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=10-24      	  239794	      4954 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=50-24      	  316513	      3816 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=50-24      	  315002	      3938 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=50-24      	  293770	      3896 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=50-24      	  311559	      3822 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=50-24      	  311180	      3796 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=90-24      	  327884	      3577 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=90-24      	  332871	      3612 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=90-24      	  331956	      3619 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=90-24      	  332242	      3616 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapFromEnd/n=10000/density=90-24      	  332964	      3608 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	lc27bench	107.210s
