goos: linux
goarch: amd64
pkg: lc25bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkArray/k=20/n=100-24        	 2353718	       505.3 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2458221	       505.9 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2109013	       583.1 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2164956	       538.7 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2379064	       503.8 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2365657	       513.3 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2370184	       501.0 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2407635	       500.5 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  285590	      4202 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  289714	      4186 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  287643	      4170 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  279885	      4291 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  278708	      4322 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  282349	      4181 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  287644	      4195 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  290313	      4191 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  286424	      4189 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  285488	      4199 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29238	     41114 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28830	     41818 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29343	     41174 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28442	     42082 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29234	     41412 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29232	     41280 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29028	     41394 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29203	     41274 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28990	     41350 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28964	     41103 ns/op	     192 B/op	       2 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2659654	       452.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2659915	       454.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2673324	       449.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2663182	       452.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2673542	       448.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2640358	       460.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2649804	       463.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2640162	       452.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2660553	       454.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2654808	       449.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  281680	      4284 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  283288	      4239 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  276927	      4243 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  279116	      4246 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  281940	      4318 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  282759	      4243 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  283599	      4233 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  276703	      4232 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  283575	      4246 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=1000-24    	  280515	      4262 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28202	     42508 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28662	     41863 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28622	     42037 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28543	     41913 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28647	     42519 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28567	     41975 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28640	     41883 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28562	     42108 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   27942	     42406 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=10000-24   	   28480	     42107 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2790459	       420.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2859012	       418.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2907877	       411.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2862712	       415.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2869089	       422.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2799298	       426.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2852510	       423.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2855241	       423.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2724086	       425.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=100-24    	 2846410	       418.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  307240	      3871 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  312112	      3860 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  309915	      3875 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  308918	      3877 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  305418	      3851 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  311211	      3851 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  312112	      3855 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  309922	      3869 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  309049	      3881 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=1000-24   	  310467	      4050 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   31126	     39489 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=10/n=10000-24  	   31196	     38369 ns/op	      16 B/op	       1 allocs/op
