goos: linux
goarch: amd64
pkg: lc32bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkStack/n=700-24   	 1230541	       993.5 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=700-24   	 1308854	       923.3 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=700-24   	 1511084	       809.7 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=700-24   	 1235716	       923.0 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=800-24   	 1331571	       884.0 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1420634	       840.8 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1417932	       798.5 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1482916	       792.2 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1463580	       776.6 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1688026	       750.7 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1760559	       766.0 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1316294	       936.7 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1298811	       940.9 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=800-24   	 1348194	       877.8 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=900-24   	 1320121	       941.7 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1000000	      1072 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1252923	       957.3 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1000000	      1114 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1000000	      1163 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1000000	      1184 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1173574	      1039 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1000000	      1092 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	  992114	      1214 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=900-24   	 1000000	      1135 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=1000-24  	 1436389	       868.8 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1184662	       986.3 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1181128	       977.2 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1253157	       984.5 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1457049	       819.4 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1300045	       923.9 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1301930	       933.6 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	  956827	      1077 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1000000	      1016 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=1000-24  	 1000000	      1033 ns/op	     504 B/op	       6 allocs/op
BenchmarkDoublePass/n=100-24         	 8228950	       140.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 7860248	       141.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 7715389	       142.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 8597120	       149.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 8515081	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 8373284	       140.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 8451867	       140.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 7958731	       140.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 8573587	       140.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=100-24         	 8457507	       140.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 4010670	       300.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 3926205	       298.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 4016671	       298.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 3971966	       302.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 4003783	       300.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 4024622	       297.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 3892572	       301.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 4034426	       297.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 4043126	       299.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=200-24         	 4050979	       296.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2754200	       437.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2755539	       436.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2748015	       436.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2672077	       439.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2764243	       439.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2727748	       436.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2760357	       434.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2738631	       435.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2717305	       436.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=300-24         	 2747352	       437.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2008988	       596.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2019337	       601.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2012824	       596.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2016446	       594.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2016430	       594.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2007484	       596.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2020298	       593.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2022241	       593.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2022202	       594.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=400-24         	 2005555	       597.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1595649	       752.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1591881	       753.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1586210	       759.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1598172	       750.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1601599	       749.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1601134	       756.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1596195	       751.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1587648	       755.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1534491	       776.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=500-24         	 1584694	       755.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1301296	       922.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1298989	       923.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1295985	       925.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1301203	       924.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1305448	       919.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1298314	       924.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1297312	       925.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1300694	       922.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1302877	       921.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=600-24         	 1302739	       921.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1049 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1047 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1046 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1043 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1075 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1045 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	  998454	      1052 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1054 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1049 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=700-24         	 1000000	      1053 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  972033	      1236 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoublePass/n=800-24         	  977409	      1246 ns/op	       0 B/op	       0 allocs/op
