goos: linux
goarch: amd64
pkg: lc33bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkLinearPresent/n=700-24         	14194334	        83.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=700-24         	14341170	        86.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=700-24         	14354128	        86.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=700-24         	14189150	        87.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=700-24         	13227603	        90.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=700-24         	14138181	        84.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=700-24         	14349759	        84.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=700-24         	11088990	        91.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12862076	        93.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12443116	        98.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12102396	        95.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	11902059	        95.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12805209	        93.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12696322	        93.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	11862111	        94.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12850002	        94.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12033206	        95.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=800-24         	12843835	        93.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	11560568	       107.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	11600012	       104.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	10763287	       106.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	10452247	       106.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	11615260	       104.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	10801028	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	10826594	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	11062476	       104.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	11494028	       108.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=900-24         	11593722	       106.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	10132508	       118.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9899035	       119.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9838136	       120.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9804847	       121.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9919156	       120.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9891600	       119.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	10490200	       117.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9815958	       119.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9912328	       121.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=1000-24        	 9933307	       117.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	248054776	         4.761 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	254876466	         4.699 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	255244616	         4.693 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	254451423	         4.680 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	253082253	         4.730 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	243000978	         4.765 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	258623866	         4.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	258124584	         4.653 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	257318925	         4.669 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=100-24         	253279042	         4.712 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	211972294	         5.590 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	216143589	         5.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	216495962	         5.537 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	215234222	         5.553 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	217308920	         5.522 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	217297629	         5.520 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	217182496	         5.529 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	215886462	         5.536 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	216121748	         5.535 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=200-24         	217239021	         5.521 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	184273411	         6.517 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	183853558	         6.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	182268030	         6.578 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	182519547	         6.556 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	182922433	         6.548 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	183069522	         6.541 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	179680399	         6.598 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	180145197	         6.567 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	185017092	         6.497 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=300-24         	184427818	         6.512 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	186620796	         6.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	187972796	         6.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	186232764	         6.409 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	188180400	         6.382 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	184539284	         6.441 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	188378146	         6.368 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	182934430	         6.471 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	188431531	         6.371 ns/op	       0 B/op	       0 allocs/op
BenchmarkBinaryPresent/n=400-24         	186419071	         6.435 ns/op	       0 B/op	       0 allocs/op
